,Year,Month,Day of Month,Date,State,Magnitude on F/EF scale,Number of injuries,Number of fatalities,Starting latitude,Starting longitude,Ending latitude,Ending longitude,Track length in KM,Tornado width in meters,Starting location,Ending location
958,1953,6,7,07/06/1953,NE,2,1,0,41.47,-98.63,41.68,-98.37,32.35,9.14,"Highway 22, ,Greeley County,Nebraska,68875","Mill Road, ,Greeley County,Nebraska,68665"
959,1953,6,7,07/06/1953,NE,2,2,0,41.35,-97.07,41.42,-96.95,11.1,9.14,"42 Road, ,Butler County,Nebraska,68001","47 Road, ,Butler County,Nebraska,68036"
960,1953,6,7,07/06/1953,NE,2,0,0,41.95,-97.67,42.17,-97.52,26.72,9.14,"836th Road, ,Madison County,Nebraska,68752","550 Avenue, ,Pierce County,Nebraska,68767"
961,1953,6,7,07/06/1953,NE,2,6,0,42.13,-97.6,42.42,-97.12,49.89,9.14,"546 Avenue, ,Pierce County,Nebraska, ","Highway 20, ,Cedar County,Nebraska, "
962,1953,6,7,07/06/1953,NE,2,1,0,41.55,-96.25,41.57,-96.17,6.6,9.14,"County Road 21, ,Washington County,Nebraska, ","County Road P16, ,Washington County,Nebraska,68008"
963,1953,6,7,07/06/1953,NE,3,1,0,41.7,-98.02,41.82,-98.02,12.87,228.6,"Old Mill Road, ,Boone County,Nebraska,68620","170th Street, ,Boone County,Nebraska, "
964,1953,6,7,07/06/1953,NE,4,0,11,41.33,-99.13,41.57,-99.05,24.14,402.34,"793 Road, ,Sherman County,Nebraska, ","Comstock Road, ,Valley County,Nebraska, "
967,1953,6,8,08/06/1953,MI,2,13,4,44.33,-83.63,44.45,-83.33,26.72,761.7,"Plank Road, ,Iosco County,Michigan,48748","US 23, ,Iosco County,Michigan,48750"
968,1953,6,8,08/06/1953,MI,3,11,0,42.58,-83.7,42.6,-83.68,14.64,182.88,"Pleasant Valley, ,Livingston County,Michigan,48114","Commerce Road, ,Livingston County,Michigan,48380"
970,1953,6,8,08/06/1953,MI,3,5,1,42.2,-84,42.25,-83.78,18.19,64.01,"Pleasant Lake Road, ,Washtenaw County,Michigan,48158","Oak Valley Drive, ,Washtenaw County,Michigan,48103"
971,1953,6,8,08/06/1953,MI,4,23,0,43.15,-83.18,43.13,-82.5,54.4,761.7,"Allen Drive, ,Lapeer County,Michigan,48461","Kimball Drive,Lakeport,Saint Clair County,Michigan,48059"
972,1953,6,8,08/06/1953,MI,4,18,4,41.78,-83.57,41.78,-83.45,8.69,182.88,"Lewis Avenue, ,Monroe County,Michigan,48182"," , ,Monroe County,Michigan,48133"
973,1953,6,8,08/06/1953,MI,5,844,116,43.1,-83.85,43.17,-83.42,30.42,761.7,"Maurice Lane, ,Genesee County,Michigan, ","Southern Links Trailway, ,Lapeer County,Michigan,48464"
977,1953,6,8,08/06/1953,OH,4,379,17,41.22,-83.9,41.5,-81.72,189.9,91.44,"County Road 2, ,Henry County,Ohio,43534","Whiskey Island Connector Trail, ,Cuyahoga County,Ohio,44199"
978,1953,6,9,09/06/1953,MA,3,17,0,42.17,-71.77,42.05,-71.2,45.06,609.9,"Juniper Drive, ,Worcester County,Massachusetts,01527","Joanna Drive, ,Norfolk County,Massachusetts,02048"
979,1953,6,9,09/06/1953,MA,4,1228,94,42.47,-72.17,42.3,-71.52,56.17,822.96,"Barre Road, ,Worcester County,Massachusetts,01366","Birchwood Drive, ,Worcester County,Massachusetts,01745"
983,1953,6,11,11/06/1953,WY,1,0,0,42.75,-104.83,42.75,-104.68,11.59,61.26," , ,Niobrara County,Wyoming, "," , ,Niobrara County,Wyoming, "
989,1953,6,13,13/06/1953,VA,1,0,0,36.58,-79.4,36.58,-79.32,7.24,9.14,"Holbrook Avenue, , ,Virginia,24541","Mountain Hill Road, , ,Virginia,24540"
990,1953,6,14,14/06/1953,SD,2,0,0,43.47,-101.5,43.83,-101.27,44.58,402.34,"State Highway 73,Long Valley,Jackson County,South Dakota,57547","1st Avenue,Belvidere,Jackson County,South Dakota,57521"
991,1953,6,15,15/06/1953,SD,2,0,0,45.5,-97.98,45.58,-97.87,12.23,9.14,"412th Avenue, ,Day County,South Dakota,57445"," , ,Day County,South Dakota, "
994,1953,6,18,18/06/1953,SD,1,0,0,43.75,-97.37,43.8,-97.18,14.97,61.26,"442nd Avenue, ,McCook County,South Dakota,57058","Eagle Road, ,McCook County,South Dakota, "
995,1953,6,19,19/06/1953,KS,1,0,0,39.4,-98.43,39.48,-98.37,10.62,402.34,"130, ,Mitchell County,Kansas, ","G, ,Mitchell County,Kansas, "
996,1953,6,19,19/06/1953,KS,2,0,0,38.6,-97.07,38.6,-96.9,14.16,9.14,"County Road,Ramona,Marion County,Kansas,67475","Z Avenue, ,Morris County,Kansas, "
1002,1953,6,19,19/06/1953,OK,1,0,0,34.97,-98.03,35.03,-97.97,9.82,804.67," , ,Grady County,Oklahoma,73023","South 29th Street, ,Grady County,Oklahoma,73018"
1010,1953,6,22,22/06/1953,PA,1,0,0,40.12,-75.87,40.15,-75.8,5.79,15.54,"White School Road,Fontaine,Chester County,Pennsylvania,19344","Ironstone Lane, ,Chester County,Pennsylvania,19520"
1012,1953,6,23,23/06/1953,MT,2,0,0,47.23,-105.15,47.58,-104.65,53.91,1207.01,"Fas 470,Lindsay,Dawson County,Montana, ","Road 549, ,Dawson County,Montana,59262"
1018,1953,6,27,27/06/1953,IA,2,1,0,41.4,-92.6,41.33,-92.73,12.55,91.44,"175th Street, ,Mahaska County,Iowa,50207","Highland Avenue, ,Mahaska County,Iowa,52577"
1021,1953,6,30,30/06/1953,MI,1,0,0,46.73,-89.62,46.85,-89.45,17.54,457.2,"North Country Trail, ,Ontonagon County,Michigan,49971"," ,Green,Ontonagon County,Michigan, "
1025,1953,7,3,03/07/1953,NE,1,0,0,41.12,-96.45,41.07,-96.38,6.92,9.14,"County Road E, ,Saunders County,Nebraska,68003","County Road B, ,Saunders County,Nebraska,68003"
1033,1953,7,7,07/07/1953,NE,1,1,0,41.42,-102.48,41.42,-102.27,17.38,9.14,"Road 54, ,Garden County,Nebraska,69154","Road 187, ,Garden County,Nebraska, "
1042,1953,7,17,17/07/1953,LA,2,2,0,29.95,-90.03,30.02,-89.97,10.3,30.18,"Mississippi River Trail,Cutoff,Orleans Parish,Louisiana,70131","Sandalwood Street, ,Orleans Parish,Louisiana,70127"
1050,1953,7,26,26/07/1953,NE,1,0,0,41.45,-97.33,41.58,-97.25,15.93,9.14,"3rd Avenue, ,Platte County,Nebraska,68601","Road 1, ,Colfax County,Nebraska, "
1051,1953,7,28,28/07/1953,NE,1,0,0,42.78,-103.75,42.68,-103.87,13.84,9.14," , ,Sioux County,Nebraska,69346"," , ,Sioux County,Nebraska,69346"
1054,1953,8,1,01/08/1953,MO,1,0,0,38.42,-91.08,38.48,-90.97,12.39,9.14,"Camp Mo-Val Road, ,Franklin County,Missouri,63084","Highway V,Gildehouse,Franklin County,Missouri,63089"
1055,1953,8,2,02/08/1953,KS,1,0,0,39.72,-96.78,39.75,-96.72,6.6,9.14,"Sunflower Road, ,Marshall County,Kansas,66548"," , ,Marshall County,Kansas, "
1062,1953,8,7,07/08/1953,SC,1,0,0,33.37,-79.3,33.4,-79.22,8.69,91.44,"Butts Street, ,Georgetown County,South Carolina,29440","Log Cabin Road, ,Georgetown County,South Carolina, "
1068,1953,8,11,11/08/1953,TX,0,0,0,33.42,-99.8,33.42,-99.72,7.89,15.54,"State Highway 222, ,Knox County,Texas,76371","County Road 4650, ,Knox County,Texas, "
1073,1953,8,17,17/08/1953,CO,1,0,0,39.8,-104.5,39.8,-104.38,9.17,91.44,"East 56th Avenue, ,Adams County,Colorado, ","Yulle Road, ,Adams County,Colorado, "
1078,1953,9,12,12/09/1953,PA,2,0,0,40.67,-76.68,40.65,-76.58,7.56,45.72,"Corners Road, ,Northumberland County,Pennsylvania,17867","East Mountain Road, ,Schuylkill County,Pennsylvania,17938"
1085,1953,10,20,20/10/1953,CO,3,0,0,38.13,-104.03,38.25,-103.87,19.15,804.67,"11th Street, ,Otero County,Colorado,81039","Colorado Canal Road, ,Crowley County,Colorado,81062"
1087,1953,10,23,23/10/1953,TX,2,0,0,27.83,-97.07,27.87,-97.02,6.6,91.44,"West Avenue G, ,Nueces County,Texas,78373"," , ,Nueces County,Texas, "
1095,1953,11,19,19/11/1953,TX,2,0,0,31.77,-95.72,31.8,-95.63,9.01,45.72,"Private Road 8422, ,Anderson County,Texas, ","Willowbrook Way, ,Anderson County,Texas,75803"
1097,1953,11,21,21/11/1953,LA,2,2,0,30.1,-91.98,30.37,-91.85,32.83,274.32,"Florine Street, ,Lafayette Parish,Louisiana,70592","Mike Leblanc Road, ,Saint Martin Parish,Louisiana,70512"
1101,1953,12,1,01/12/1953,TX,3,10,0,29.5,-97.93,29.53,-97.87,8.21,1609.34,"Amanda Lane, ,Guadalupe County,Texas,78155"," , ,Guadalupe County,Texas, "
1102,1953,12,2,02/12/1953,OK,1,2,0,34.18,-97.22,34.57,-96.92,50.53,804.67," , ,Carter County,Oklahoma,73443"," , ,Murray County,Oklahoma, "
1108,1953,12,2,02/12/1953,TX,3,4,0,30.5,-96.97,30.53,-97,5.31,91.44,"East County Road 415,Tanglewood,Lee County,Texas,78947","County Road 418, ,Lee County,Texas,78947"
1110,1953,12,3,03/12/1953,LA,4,50,9,31.07,-93.05,31.82,-92.32,137.6,274.32,"Holly Springs Road, ,Vernon Parish,Louisiana, "," , ,La Salle Parish,Louisiana, "
1111,1953,12,3,03/12/1953,MS,3,20,0,32.73,-91.07,32.92,-90.83,30.26,274.32," , ,Issaquena County,Mississippi, "," , ,Sharkey County,Mississippi, "
1113,1953,12,5,05/12/1953,LA,2,16,0,32.8,-92.67,32.9,-92.55,15.61,30.18," , ,Union Parish,Louisiana, ","Peanut Road, ,Union Parish,Louisiana, "
1114,1953,12,5,05/12/1953,LA,2,11,0,32.75,-92.13,33.35,-91.43,93.82,804.67,"Dowell Road, ,Union Parish,Louisiana,71280","Shelton - Turner Road, ,Chicot County,Arkansas,71653"
1115,1953,12,5,05/12/1953,MS,2,11,0,34.2,-90.73,34.28,-90.83,13.2,27.43,"Mississippi Highway 1,Green Grove,Coahoma County,Mississippi,38746"," , ,Phillips County,Arkansas, "
1116,1953,12,5,05/12/1953,MS,5,270,38,32.33,-90.9,32.42,-90.78,14.48,457.2,"Dorsey Street,Speeds Addition,Warren County,Mississippi,39180","Oak Ridge Road,Villanova,Warren County,Mississippi,39183"
1119,1953,12,6,06/12/1953,FL,2,0,0,30.62,-84.28,30.65,-84.15,13.52,9.14,"Iamonia Farms Road, ,Leon County,Florida, "," , ,Leon County,Florida, "
1122,1954,1,20,20/01/1954,MS,1,0,0,33.38,-88.42,33.45,-88.37,9.01,91.44," , ,Lowndes County,Mississippi, ","Idlewild Road,Dean Acres,Lowndes County,Mississippi,39702"
1123,1954,1,20,20/01/1954,MS,2,2,0,33.3,-88.83,33.47,-88.62,27.84,24.69," , ,Oktibbeha County,Mississippi, "," , ,Lowndes County,Mississippi, "
1134,1954,2,19,19/02/1954,TX,2,7,0,30.32,-95.45,30.45,-95.42,15.29,137.16,"Edgar Street, ,Montgomery County,Texas,77301","FM 1097, ,Montgomery County,Texas,77378"
1136,1954,2,20,20/02/1954,MS,2,10,0,31.28,-89.65,31.68,-89.23,59.71,182.88,"Green Road, ,Lamar County,Mississippi, ","Holly Road, ,Jones County,Mississippi,39443"
1137,1954,2,20,20/02/1954,MS,2,10,0,32.43,-89.23,32.62,-89,30.9,91.44," , ,Newton County,Mississippi, ","County Road 701,House,Neshoba County,Mississippi,39337"
1138,1954,2,21,21/02/1954,NC,1,0,0,35.2,-80,35.3,-79.73,26.72,24.69,"South Main Street, ,Montgomery County,North Carolina,27306","I 73;I 74;US 220, ,Montgomery County,North Carolina,27229"
1140,1954,2,28,28/02/1954,AL,1,0,0,32.92,-86.82,33.03,-86.65,20.12,152.7,"County Road 205, ,Chilton County,Alabama,35085"," , ,Chilton County,Alabama, "
1144,1954,3,12,12/03/1954,IL,1,3,0,39.88,-89.92,40.18,-89.32,62.12,9.14,"Duewer Road South, ,Sangamon County,Illinois, ","1800th Street, ,Logan County,Illinois,62656"
1147,1954,3,13,13/03/1954,AL,3,20,2,32.33,-85.03,32.37,-84.93,11.27,1353.31," , ,Russell County,Alabama,36856","Marne Road, ,Chattahoochee County,Georgia,31905"
1148,1954,3,13,13/03/1954,GA,1,0,0,32.6,-84.18,32.63,-84.15,5.31,182.88," , ,Taylor County,Georgia, ","Buster Road, ,Taylor County,Georgia, "
1149,1954,3,13,13/03/1954,GA,1,5,1,32.57,-84.07,32.63,-83.5,55.36,274.32," , ,Taylor County,Georgia, ","Bullard Road,Bullard,Twiggs County,Georgia,31020"
1150,1954,3,13,13/03/1954,GA,3,75,5,32.53,-84.37,32.87,-83.62,79.66,274.32,"Currington Road, ,Taylor County,Georgia, ","Long Ridge Place,Wood Valley,Bibb County,Georgia,31211"
1169,1954,3,24,24/03/1954,AR,3,4,0,36.35,-94.28,36.48,-93.95,33.15,365.76,"Kimmel Road, ,Benton County,Arkansas,72712","US 62, ,Benton County,Arkansas,72732"
1173,1954,3,24,24/03/1954,KS,2,0,0,37.72,-95.52,37.95,-95.23,35.73,804.67," , ,Neosho County,Kansas, ","Oregon Road, ,Allen County,Kansas,66742"
1174,1954,3,24,24/03/1954,MO,1,0,0,36.55,-93.97,36.73,-93.6,38.46,45.72,"Farm Road 2265, ,Barry County,Missouri,65745","State Highway 76,Hill City,Barry County,Missouri, "
1175,1954,3,24,24/03/1954,MO,1,0,0,37.45,-94.4,37.58,-94.17,25.27,30.18,"Southwest 40th Road, ,Barton County,Missouri,64762","Northeast 70th Lane, ,Barton County,Missouri,64759"
1177,1954,3,24,24/03/1954,MO,1,0,0,36.82,-93.88,36.82,-93.78,8.69,45.72," ,East Purdy,Barry County,Missouri,65734","Farm Road 1165, ,Barry County,Missouri, "
1178,1954,3,24,24/03/1954,MO,1,0,0,36.82,-94.1,36.82,-93.88,19.15,45.72,"West Bass Street, ,Newton County,Missouri,64842"," ,East Purdy,Barry County,Missouri,65734"
1179,1954,3,24,24/03/1954,MO,1,0,0,37.17,-92.95,37.23,-92.7,23.17,822.96,"Park Lane, ,Webster County,Missouri,65652","Smith Road, ,Webster County,Missouri, "
1180,1954,3,24,24/03/1954,MO,1,0,0,36.97,-93.23,37.02,-93.22,5.31,45.72,"Selmore Road, ,Christian County,Missouri,65721","Ozark Finley River Greenway Trail, ,Christian County,Missouri,65721"
1181,1954,3,24,24/03/1954,MO,2,1,0,36.57,-94.52,36.75,-94.1,42,45.72," , ,McDonald County,Missouri, ","McDonald Road, ,Newton County,Missouri,64861"
1184,1954,3,24,24/03/1954,OK,1,0,0,36,-96.12,36.05,-96.1,5.79,182.88,"North Johannes Street, ,Creek County,Oklahoma,74066","South 97th West Avenue, ,Creek County,Oklahoma,74131"
1185,1954,3,24,24/03/1954,OK,1,0,0,36.2,-94.97,36.5,-94.75,38.46,9.14," , ,Delaware County,Oklahoma,74364"," , ,Delaware County,Oklahoma, "
1186,1954,3,24,24/03/1954,OK,2,0,0,35.18,-98.55,35.23,-98.52,6.92,70.41,"N2500 Road, ,Caddo County,Oklahoma, "," ,Swan Lake,Caddo County,Oklahoma, "
1189,1954,3,24,24/03/1954,OK,2,0,0,36.45,-95.15,36.5,-95.07,9.01,45.72,"N4410 Road, ,Mayes County,Oklahoma, ","Clift Crest Road, ,Mayes County,Oklahoma,74350"
1190,1954,3,24,24/03/1954,TX,1,4,0,33.15,-96.82,33.15,-96.73,7.89,61.26,"Main Street, ,Collin County,Texas,75034","Cornerstone Drive, ,Collin County,Texas,75070"
1195,1954,3,25,25/03/1954,MO,3,0,0,38.8,-90.8,38.93,-90.43,34.76,18.29,"Cannes Court, ,Saint Charles County,Missouri,63367","Grafton Ferry Road, ,Saint Charles County,Missouri,63373"
1196,1954,3,25,25/03/1954,MO,4,0,2,37.32,-92.23,37.45,-92.08,19.47,91.44," , ,Texas County,Missouri,65433","State Highway 32,Vada,Texas County,Missouri,65570"
1202,1954,3,31,31/03/1954,GA,2,25,0,34.12,-83.23,34.17,-82.93,28.16,182.88,"Veterans Drive, ,Madison County,Georgia,30633","Woodall Road, ,Elbert County,Georgia,30634"
1205,1954,4,5,05/04/1954,IA,2,1,0,42.03,-94.53,42.1,-94.47,8.21,804.67,"220th Street,Ralston,Greene County,Iowa,51459","I Avenue, ,Greene County,Iowa,50050"
1206,1954,4,5,05/04/1954,IA,2,0,0,40.67,-94.88,40.72,-94.67,18.51,304.5,"265th Street, ,Taylor County,Iowa,50833","Newport Avenue, ,Taylor County,Iowa,50833"
1207,1954,4,5,05/04/1954,IA,3,0,0,40.6,-95.23,40.67,-95.17,8.37,609.9,"310th Street, ,Page County,Iowa,51647","Kiwi Avenue, ,Page County,Iowa,51630"
1208,1954,4,5,05/04/1954,KS,1,0,0,39.37,-95.95,39.35,-95.88,5.31,91.44,"182 Road, ,Jackson County,Kansas, ","166 Road, ,Jackson County,Kansas, "
1209,1954,4,5,05/04/1954,KS,2,0,0,39.18,-96.92,39.28,-96.77,16.74,9.14,"Lakeview Street, ,Geary County,Kansas,66514","North 60th Street, ,Riley County,Kansas,66531"
1212,1954,4,5,05/04/1954,MO,4,2,0,40.55,-95.38,40.62,-95.27,10.14,822.96,"120 Street, ,Atchison County,Missouri,64498","290th Street, ,Page County,Iowa,51636"
1216,1954,4,6,06/04/1954,IN,2,0,0,38.23,-86.85,38.27,-86.8,5.31,9.14,"East 14th Street, ,Dubois County,Indiana,47532","East 750 South, ,Dubois County,Indiana,47532"
1217,1954,4,7,07/04/1954,IL,3,13,1,40.88,-88.42,41.25,-87.75,68.56,365.76,"East 1700 North Road, ,Livingston County,Illinois,60929","West 9000N Road,Whitaker,Kankakee County,Illinois,60940"
1223,1954,4,7,07/04/1954,WI,2,4,0,43.13,-90.38,43.17,-90.25,10.3,365.76," , ,Iowa County,Wisconsin,53506"," , ,Iowa County,Wisconsin, "
1225,1954,4,8,08/04/1954,GA,1,0,0,34.37,-84.2,34.37,-84.12,7.56,182.88,"Etowah Drive, ,Dawson County,Georgia, ","Martin Road, ,Dawson County,Georgia,30534"
1227,1954,4,9,09/04/1954,LA,0,0,0,30.25,-92.75,30.27,-92.37,36.85,18.29," , ,Jefferson Davis Parish,Louisiana,70581","Indigo Lane, ,Acadia Parish,Louisiana,70526"
1229,1954,4,10,10/04/1954,AR,2,0,0,33.43,-92.17,33.62,-92.07,22.37,91.44,"Bradley 158 Road, ,Bradley County,Arkansas,71647","Halligan Street, ,Bradley County,Arkansas,71671"
1234,1954,4,15,15/04/1954,TX,1,0,0,29.85,-95.55,29.85,-95.5,5.31,152.7,"Tanner Road, ,Harris County,Texas,77041","West Tidwell Road, ,Harris County,Texas,77092"
1238,1954,4,15,15/04/1954,WI,2,0,0,43.98,-89.18,44.05,-89.08,9.5,30.18," , ,Marquette County,Wisconsin,54960"," , ,Waushara County,Wisconsin,54970"
1239,1954,4,16,16/04/1954,AL,2,1,0,31.32,-85.82,31.45,-85.57,27.84,91.44,"Myrick Drive,Brown Subdivision,Coffee County,Alabama,36330"," ,Mabson,Dale County,Alabama, "
1246,1954,4,20,20/04/1954,NE,3,0,0,40.58,-100.13,40.57,-100.02,9.5,1609.34,"Road 412, ,Frontier County,Nebraska, "," , ,Frontier County,Nebraska, "
1255,1954,4,25,25/04/1954,PA,2,0,0,39.83,-77.23,39.8,-76.98,21.4,457.2,"East Middle Street, ,Adams County,Pennsylvania,17325","York Street, ,York County,Pennsylvania,17331"
1257,1954,4,26,26/04/1954,IA,2,0,0,43.05,-95.3,42.97,-95.17,13.52,9.14,"410th Street, ,Clay County,Iowa, "," , ,Clay County,Iowa, "
1261,1954,4,26,26/04/1954,WI,1,0,0,44,-91.25,44.08,-91.2,9.01,30.18,"Moe Coulee Road, ,La Crosse County,Wisconsin,54636"," , ,Trempealeau County,Wisconsin,54630"
1268,1954,4,27,27/04/1954,TX,2,0,0,31.73,-99.95,31.57,-99.95,18.51,30.18,"Voelkel Avenue, ,Runnels County,Texas,76821"," , ,Concho County,Texas, "
1274,1954,4,28,28/04/1954,MS,2,2,0,34.37,-88.33,34.4,-88.3,5.31,9.14,"Carson Williams Road, ,Itawamba County,Mississippi,38843","MS 25,Fairview,Itawamba County,Mississippi,38843"
1282,1954,4,29,29/04/1954,OK,2,0,0,35.8,-99.75,36.12,-99.3,53.59,9.14,"OK 33, ,Roger Mills County,Oklahoma,73638"," , ,Dewey County,Oklahoma, "
1283,1954,4,29,29/04/1954,OK,2,2,0,35.93,-98.1,36,-98.1,7.4,91.44,"E0750 Road, ,Kingfisher County,Oklahoma, ","E0700 Road, ,Kingfisher County,Oklahoma,73756"
1286,1954,4,29,29/04/1954,TX,1,0,0,32.62,-99.75,32.65,-99.72,5.79,15.54," , ,Jones County,Texas, "," , ,Jones County,Texas, "
1289,1954,4,30,30/04/1954,AR,1,0,0,35.45,-93.58,35.48,-93.47,11.1,91.44,"Marlow Road, ,Johnson County,Arkansas,72830","North Miller Street, ,Johnson County,Arkansas,72830"
1290,1954,4,30,30/04/1954,AR,2,0,0,35.97,-91.27,36.17,-90.62,62.44,91.44,"Lawrence Road 323, ,Lawrence County,Arkansas,72440","Greene Rd 250,Beech Grove,Greene County,Arkansas,72412"
1291,1954,4,30,30/04/1954,AR,3,1,0,35.63,-94.4,36.1,-94,65.5,402.34,"Independence Road, ,Crawford County,Arkansas,72932","West Bowen Boulevard, ,Washington County,Arkansas,72703"
1293,1954,4,30,30/04/1954,IA,2,1,0,40.67,-91.5,41.83,-90.95,137.12,182.88,"Burt Road, ,Lee County,Iowa, ","177th Street, ,Cedar County,Iowa,52255"
1294,1954,4,30,30/04/1954,IA,2,0,0,41.67,-92,42.47,-91.3,105.89,182.88,"Industrial Park Drive, ,Iowa County,Iowa,52361","221st Street, ,Delaware County,Iowa,52223"
1295,1954,4,30,30/04/1954,IA,2,0,0,42.22,-91.2,42.45,-91.1,26.72,45.72,"Military Road, ,Jones County,Iowa,52310","Olde Castle Road, ,Dubuque County,Iowa,52040"
1297,1954,4,30,30/04/1954,IA,4,0,0,42.1,-91.75,43.18,-91.17,129.39,182.88,"Wickiup Hill Road, ,Linn County,Iowa,52341","County Road X52, ,Allamakee County,Iowa,52146"
1300,1954,4,30,30/04/1954,LA,2,6,1,31.5,-93.6,31.58,-93.33,26.88,91.44," , ,Sabine Parish,Louisiana,71449"," , ,Natchitoches Parish,Louisiana, "
1301,1954,4,30,30/04/1954,MO,1,0,0,36.58,-93.9,36.67,-93.82,11.75,45.72," , ,Barry County,Missouri, ","Farm Road 2180, ,Barry County,Missouri,65625"
1302,1954,4,30,30/04/1954,MO,2,0,0,38.43,-92.83,38.47,-92.78,5.79,365.76,"Old Marvin Road, ,Morgan County,Missouri,65084","Buggy Road, ,Morgan County,Missouri, "
1303,1954,4,30,30/04/1954,MO,2,0,0,39.2,-92.33,40.4,-91.67,144.2,91.44,"US 63, ,Boone County,Missouri,65284","County Road 169, ,Clark County,Missouri, "
1304,1954,4,30,30/04/1954,MS,1,0,0,32.27,-89.58,32.33,-89.5,10.94,9.14,"H W Morehead Road, ,Scott County,Mississippi,39152","West Moore Tower Road, ,Scott County,Mississippi,39074"
1308,1954,4,30,30/04/1954,TX,1,0,0,31.85,-97.98,31.92,-97.92,9.82,804.67,"Farm-to-Market Road 1602,Fairy,Hamilton County,Texas,76457","County Road 2210, ,Bosque County,Texas, "
1309,1954,4,30,30/04/1954,TX,1,0,0,29.98,-97.88,30,-97.63,24.14,61.26,"West 3rd Street, ,Hays County,Texas,78640","Terra Alta Ranch Road, ,Caldwell County,Texas,78616"
1310,1954,4,30,30/04/1954,TX,2,2,0,30.1,-96.97,30.2,-96.62,25.43,804.67,"County Road 216,Northrup,Lee County,Texas,78942"," ,Union Hill,Washington County,Texas,77835"
1312,1954,4,30,30/04/1954,TX,2,25,0,31.07,-95.12,31.55,-94.1,110.72,807.42,"TX 94, ,Trinity County,Texas,75845"," , ,San Augustine County,Texas,75972"
1313,1954,4,30,30/04/1954,TX,3,6,0,30.42,-97.45,31.48,-95.47,225.15,804.67,"Manda Carlson Road,Carlson,Travis County,Texas,78615","US 287 Business, ,Houston County,Texas,75844"
1314,1954,4,30,30/04/1954,TX,3,1,0,32.92,-94.72,33.52,-93.42,138.89,45.72,"Main Plant Road, ,Morris County,Texas,75668","Nevada 3 Road, ,Nevada County,Arkansas,71858"
1315,1954,4,30,30/04/1954,TX,3,2,0,33.4,-94.63,33.48,-93.1,179.6,1609.34,"County Road 4243, ,Bowie County,Texas,75559"," , ,Ouachita County,Arkansas, "
1317,1954,5,1,01/05/1954,KS,2,0,0,37.22,-95.67,37.3,-95.68,9.01,30.18,"East Main Street, ,Montgomery County,Kansas,67301"," , ,Montgomery County,Kansas,67323"
1318,1954,5,1,01/05/1954,KS,2,0,0,37.13,-95.23,37.18,-95.17,8.21,9.14,"Queens Road, ,Labette County,Kansas, ","13000 Road, ,Labette County,Kansas,67356"
1321,1954,5,1,01/05/1954,OK,2,0,0,35,-98.48,35.12,-98.33,18.67,274.32,"E1390 Road, ,Caddo County,Oklahoma, ","E1310 Road, ,Caddo County,Oklahoma, "
1322,1954,5,1,01/05/1954,OK,2,7,0,36.23,-96.92,36.32,-96.83,12.55,9.14,"East Lone Chimney Road, ,Payne County,Oklahoma,74032","E0480 Road, ,Pawnee County,Oklahoma,74058"
1323,1954,5,1,01/05/1954,OK,2,6,0,34.87,-96.58,35.32,-96.15,63.09,9.14,"N3610 Road, ,Pontotoc County,Oklahoma,74844","US 75, ,Okfuskee County,Oklahoma,74880"
1324,1954,5,1,01/05/1954,OK,2,0,0,35.15,-96.68,35.38,-96.48,31.7,91.44,"Hillcrest Drive, ,Seminole County,Oklahoma,74830","Ew113 Road, ,Seminole County,Oklahoma,74837"
1325,1954,5,1,01/05/1954,OK,2,0,0,35.37,-96.5,35.45,-96.47,9.17,201.17,"Ns3660 Road, ,Seminole County,Oklahoma,74837","Ew108 Road, ,Seminole County,Oklahoma,74829"
1326,1954,5,1,01/05/1954,OK,2,6,0,34.88,-95.87,35.27,-95.58,59.87,9.14," , ,Pittsburg County,Oklahoma, ","OK 9, ,McIntosh County,Oklahoma,74432"
1327,1954,5,1,01/05/1954,OK,3,0,0,34.62,-98,34.68,-97.93,9.98,91.44,"N2800 Road, ,Stephens County,Oklahoma,73055","County Line Road, ,Grady County,Oklahoma,73055"
1328,1954,5,1,01/05/1954,OK,3,0,0,34.17,-98.25,34.2,-98.12,12.87,274.32,"County Road E1960, ,Cotton County,Oklahoma, ","N2730 Road, ,Jefferson County,Oklahoma,73548"
1329,1954,5,1,01/05/1954,OK,3,3,3,34.23,-98.62,34.35,-98.47,19.79,9.14,"E1920 Road, ,Tillman County,Oklahoma,73546","N2530, ,Cotton County,Oklahoma, "
1330,1954,5,1,01/05/1954,OK,4,65,0,35.4,-97.37,35.77,-96.52,95.27,9.14,"South Douglas Boulevard, ,Oklahoma County,Oklahoma,73150"," , ,Creek County,Oklahoma, "
1334,1954,5,1,01/05/1954,TX,4,2,0,33.98,-99.72,34.65,-98.92,110.4,402.34,"East Railroad Street, ,Foard County,Texas,79227","US 62 Business, ,Kiowa County,Oklahoma,73566"
1339,1954,5,2,02/05/1954,KY,1,0,0,37.45,-87.08,37.43,-86.9,16.09,9.14,"KY 85,Matanzas,Ohio County,Kentucky,42328","West H Luce Lane, ,Ohio County,Kentucky,42320"
1350,1954,5,3,03/05/1954,TN,2,0,0,36.4,-89.07,36.43,-89.02,5.79,274.32," , ,Obion County,Tennessee,38261"," , ,Obion County,Tennessee,38281"
